ClientName,bid,cid,pred_date,dailylimit_date_before,ml_pred_spd,adjusted_spd
weboost,1757,1991,2018-08-11,10.0,11.19,13.3512
Vincero Collective,1864,3528,2018-08-11,258.25,250.54,252.52
Biossance,2068,4046,2018-08-11,20.0,9.09,10.935
Porter Road,2160,4430,2018-08-11,37.5,50.37,50.37
Lenny & Larry's,2112,4054,2018-08-11,27.5,17.87,25.145
Lenny & Larry's,2112,4057,2018-08-11,9.25,8.43,15.705
Lenny & Larry's,2112,4058,2018-08-11,19.25,13.49,20.765
Blink for Home,1867,2529,2018-08-11,30.0,51.93,29.5181
Home Chef,2032,4066,2018-08-11,7.5,7.37,9.18163
Gunnar Optiks,1912,4427,2018-08-11,28.0,54.12,55.3267
Blink for Home,1867,2533,2018-08-11,66.984,113.42,91.5225
Blink for Home,1867,2534,2018-08-11,14.5,15.23,14.48
ICEMULE Coolers,1802,2795,2018-08-11,2.5,1.02,4.0
Public Goods,2144,4348,2018-08-11,9.5,8.97,15.725
The Grand Voyage,1674,1520,2018-08-11,20.9677,15.81,20.7545
Aurate,1935,3057,2018-08-11,178.75,120.76,143.823
Aurate,1935,3058,2018-08-11,100.0,33.95,57.0133
