cid,bid,value
573,871,0.75
572,1271,3.0
571,1291,0.75
570,1288,0.75
568,1288,0.75
567,1274,10.0
566,1262,10.0
565,1302,
564,1302,
563,1302,
562,1302,
561,1302,
560,1302,
559,1302,
558,1274,10.0
557,947,10.0
556,1263,3.0
555,1263,3.0
554,1263,3.0
553,1292,10.0
552,935,10.0
551,1195,2.75
550,1284,10.0
549,1272,10.0
548,1275,10.0
546,1265,10.0
542,1271,3.0
541,906,0.75
540,1281,10.0
539,648,0.75
538,648,0.75
537,1281,10.0
536,1241,
535,1231,0.75
534,1231,0.75
533,1231,0.75
532,131,0.75
531,1285,0.75
530,1285,0.75
528,1285,0.75
526,1281,10.0
525,1017,10.0
524,1231,0.75
523,1282,0.75
522,1282,0.75
521,1282,
520,1282,0.75
519,1269,
518,1269,
517,1269,
516,1270,8.0
515,1251,0.6
514,1251,0.6
513,1251,0.6
512,1273,
511,1270,8.0
510,1275,
509,1272,
508,1221,0.0
507,1226,10.0
506,1226,
505,1195,
504,1266,10.0
503,1266,10.0
502,1271,3.0
501,1262,10.0
500,1267,0.75
499,1267,0.75
498,1259,8.0
497,1236,8.0
496,1258,8.0
495,1213,4.0
494,1232,6.5
493,1232,6.5
492,1261,
491,1261,
490,1259,8.0
489,1261,
488,1261,
486,1261,
485,1236,8.0
484,1261,
483,1261,
481,1258,8.0
479,1235,0.5
478,1235,0.5
477,1263,
476,1253,0.75
475,1253,0.75
474,1235,0.5
473,1257,0.75
472,1257,0.75
471,1257,0.75
470,1257,0.75
469,974,0.75
468,974,0.75
464,1253,0.75
463,1253,0.75
452,1235,0.5
461,1253,0.75
460,1235,0.5
459,1221,8.0
458,1221,8.0
457,1251,0.6
454,1235,0.5
453,1251,0.6
451,1169,
450,1169,
449,1248,0.75
447,1248,0.75
443,966,
442,1224,7.0
441,1224,
434,906,0.75
433,1215,8.0
432,1229,7.0
431,1229,
429,1215,
428,1215,
425,1247,6.5
424,1247,6.5
415,1118,10.0
414,1171,0.75
411,895,0.5
404,1146,
403,895,0.5
402,895,0.5
401,1171,0.75
400,1171,0.75
395,1030,10.0
388,787,6.0
387,947,10.0
371,1197,10.0
370,1201,6.0
369,1198,10.0
367,1109,
366,1109,
365,1066,2.5
364,1201,6.0
363,1118,10.0
362,1118,10.0
361,1197,10.0
360,1198,
359,1191,10.0
358,1191,10.0
357,967,0.75
356,1179,
355,1179,
332,1169,
354,1170,10.0
353,1169,
352,1169,
351,1194,10.0
350,916,0.75
349,1195,
348,1194,10.0
347,1195,2.75
344,871,0.75
343,871,0.75
342,1177,10.0
341,1177,10.0
340,1195,2.75
339,906,0.75
